SEASON,TEAM,SPLIT,GP,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,DREB/G,OREB/G,REB/G,A/G,TO/G,STL/G,BLK/G,PF/G,PPG,OFF_EFF,NET_EFF
2010,dalhousie,Away,10.0,242.0,609.0,39.7,23.0,78.0,29.5,124.0,172.0,72.1,12.3,25.3,37.6,15.7,16.6,5.4,2.1,16.5,63.1,0.968,-0.001
2010,dalhousie,Wins,10.0,266.0,603.0,44.1,26.0,79.0,32.9,143.0,206.0,69.4,13.6,24.9,38.5,17.9,17.3,8.6,2.1,14.6,70.1,1.095,0.244
2010,dalhousie,Losses,10.0,240.0,615.0,39.0,17.0,77.0,22.1,110.0,159.0,69.2,14.0,28.6,42.6,14.9,21.7,3.8,1.5,17.6,60.7,0.877,-0.124
2010,dalhousie,November,7.0,167.0,410.0,40.7,16.0,58.0,27.6,88.0,119.0,73.9,12.1,24.4,36.6,15.1,22.4,5.0,1.4,17.0,62.6,0.909,-0.145
2010,dalhousie,January,8.0,212.0,497.0,42.7,12.0,55.0,21.8,101.0,148.0,68.2,14.9,27.9,42.8,18.9,18.8,6.5,1.8,16.4,67.1,1.017,0.169
2010,dalhousie,February,5.0,127.0,311.0,40.8,15.0,43.0,34.9,64.0,98.0,65.3,14.4,28.2,42.6,14.2,16.6,7.4,2.4,14.4,66.6,1.034,0.161
2010,memorial,Total,19.0,488.0,1182.0,41.3,90.0,280.0,32.1,268.0,403.0,66.5,10.7,24.9,35.6,17.9,20.5,9.0,3.4,13.6,70.2,0.975,0.073
2010,memorial,Exhibition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,memorial,Home,10.0,265.0,636.0,41.7,53.0,152.0,34.9,140.0,224.0,62.5,11.4,27.5,38.9,22.5,19.6,8.8,3.8,13.6,72.3,1.007,0.146
2010,memorial,Away,9.0,223.0,546.0,40.8,37.0,128.0,28.9,128.0,179.0,71.5,9.9,22.0,31.9,12.8,21.4,9.2,2.9,13.7,67.9,0.94,-0.01
2010,memorial,Wins,12.0,318.0,757.0,42.0,63.0,177.0,35.6,191.0,280.0,68.2,10.5,28.0,38.5,19.3,19.8,10.0,4.2,14.6,74.2,1.024,0.197
2010,memorial,Losses,7.0,170.0,425.0,40.0,27.0,103.0,26.2,77.0,123.0,62.6,11.0,19.6,30.6,15.6,21.6,7.3,2.0,12.0,63.4,0.89,-0.152
2010,memorial,November,6.0,154.0,368.0,41.8,19.0,71.0,26.8,85.0,143.0,59.4,10.7,25.0,35.7,17.8,20.2,8.0,2.7,12.5,68.7,0.969,0.081
2010,memorial,January,7.0,170.0,435.0,39.1,34.0,102.0,33.3,83.0,126.0,65.9,11.7,23.7,35.4,17.4,20.4,7.7,2.4,12.6,65.3,0.921,0.019
2010,memorial,February,6.0,164.0,379.0,43.3,37.0,107.0,34.6,100.0,134.0,74.6,9.5,26.2,35.7,18.5,20.8,11.5,5.2,16.0,77.5,1.04,0.124
2010,saintmarys,Total,20.0,462.0,1185.0,39.0,88.0,289.0,30.4,283.0,411.0,68.9,11.4,22.8,34.2,13.2,17.8,7.6,2.5,16.1,64.8,0.987,0.115
2010,saintmarys,Exhibition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,saintmarys,Home,9.0,228.0,551.0,41.4,34.0,120.0,28.3,125.0,184.0,67.9,14.7,23.7,38.3,14.9,16.7,6.6,2.7,14.6,68.3,1.081,0.158
2010,saintmarys,Away,11.0,234.0,634.0,36.9,54.0,169.0,32.0,158.0,227.0,69.6,8.7,22.1,30.8,11.8,18.6,8.5,2.3,17.4,61.8,0.915,0.082
2010,saintmarys,Wins,12.0,308.0,726.0,42.4,65.0,174.0,37.4,178.0,258.0,69.0,12.6,25.3,37.9,14.6,17.4,6.8,2.9,15.8,71.6,1.096,0.256
2010,saintmarys,Losses,8.0,154.0,459.0,33.6,23.0,115.0,20.0,105.0,153.0,68.6,9.6,19.0,28.6,11.1,18.3,8.9,1.8,16.6,54.5,0.826,-0.094
2010,saintmarys,November,8.0,181.0,475.0,38.1,29.0,127.0,22.8,117.0,169.0,69.2,10.6,19.6,30.3,14.6,16.3,7.9,1.5,16.3,63.5,0.977,0.047
2010,saintmarys,January,8.0,185.0,476.0,38.9,28.0,96.0,29.2,112.0,168.0,66.7,13.3,23.9,37.1,12.3,18.6,7.8,2.9,15.6,63.8,0.983,0.114
2010,saintmarys,February,4.0,96.0,234.0,41.0,31.0,66.0,47.0,54.0,74.0,73.0,9.3,27.0,36.3,12.3,19.0,6.8,3.5,16.8,69.3,1.015,0.254
2010,stfx,Total,20.0,511.0,1434.0,35.6,114.0,411.0,27.7,219.0,324.0,67.6,15.1,21.2,36.3,14.6,17.8,13.3,2.2,18.8,67.8,0.911,0.008
2010,stfx,Exhibition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,stfx,Home,10.0,244.0,714.0,34.2,52.0,194.0,26.8,120.0,176.0,68.2,15.7,20.8,36.5,14.8,18.1,13.5,2.9,17.4,66.0,0.894,0.043
2010,stfx,Away,10.0,267.0,720.0,37.1,62.0,217.0,28.6,99.0,148.0,66.9,14.5,21.6,36.1,14.3,17.4,13.0,1.5,20.1,69.5,0.928,-0.029
2010,stfx,Wins,11.0,303.0,810.0,37.4,69.0,228.0,30.3,150.0,210.0,71.4,16.0,20.9,36.9,15.4,17.3,16.2,2.5,18.0,75.0,1.001,0.2
2010,stfx,Losses,9.0,208.0,624.0,33.3,45.0,183.0,24.6,69.0,114.0,60.5,14.0,21.6,35.6,13.6,18.3,9.7,1.8,19.7,58.9,0.799,-0.245
2010,stfx,November,6.0,154.0,417.0,36.9,30.0,99.0,30.3,78.0,116.0,67.2,14.3,21.3,35.7,12.7,17.0,15.2,2.2,19.5,69.3,0.961,0.164
2010,stfx,January,8.0,204.0,571.0,35.7,52.0,185.0,28.1,85.0,124.0,68.5,14.3,20.9,35.1,15.4,17.1,13.5,2.0,18.0,68.1,0.918,-0.008
2010,stfx,February,6.0,153.0,446.0,34.3,32.0,127.0,25.2,56.0,84.0,66.7,17.0,21.5,38.5,15.3,19.3,11.0,2.5,19.0,65.7,0.857,-0.125
2010,unb,Total,20.0,514.0,1294.0,39.7,93.0,261.0,35.6,244.0,390.0,62.6,11.4,23.1,34.5,16.5,21.4,7.5,2.3,18.3,68.3,0.913,-0.062
2010,unb,Exhibition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,unb,Home,9.0,235.0,593.0,39.6,38.0,117.0,32.5,144.0,230.0,62.6,12.4,23.8,36.2,16.7,21.2,8.8,2.7,20.8,72.4,0.97,0.039
2010,unb,Away,11.0,279.0,701.0,39.8,55.0,144.0,38.2,100.0,160.0,62.5,10.5,22.5,33.0,16.4,21.6,6.5,2.0,16.3,64.8,0.866,-0.145
2010,unb,Wins,8.0,228.0,525.0,43.4,32.0,89.0,36.0,115.0,181.0,63.5,11.5,24.8,36.3,15.9,20.1,9.1,1.9,17.1,75.4,1.015,0.221
2010,unb,Losses,12.0,286.0,769.0,37.2,61.0,172.0,35.5,129.0,209.0,61.7,11.3,21.9,33.3,16.9,22.3,6.4,2.6,19.1,63.5,0.846,-0.25
2010,unb,November,7.0,179.0,481.0,37.2,41.0,99.0,41.4,103.0,162.0,63.6,13.4,22.0,35.4,15.4,19.3,8.6,2.4,20.3,71.7,0.962,-0.018
2010,unb,January,8.0,192.0,483.0,39.8,32.0,102.0,31.4,74.0,120.0,61.7,11.0,23.5,34.5,14.8,24.4,7.4,1.9,17.0,61.3,0.831,-0.046
2010,unb,February,5.0,143.0,330.0,43.3,20.0,60.0,33.3,67.0,108.0,62.0,9.2,23.8,33.0,20.8,19.8,6.2,2.8,17.6,74.6,0.974,-0.147
2010,upei,Total,19.0,295.0,1039.0,28.4,53.0,213.0,24.9,164.0,258.0,63.6,8.8,19.1,27.9,8.7,27.4,6.5,2.6,17.8,42.5,0.58,-0.486
2010,upei,Exhibition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,upei,Home,10.0,148.0,551.0,26.9,25.0,103.0,24.3,84.0,130.0,64.6,8.7,17.3,26.0,6.8,24.8,7.4,2.8,15.6,40.5,0.569,-0.535
2010,upei,Away,9.0,147.0,488.0,30.1,28.0,110.0,25.5,80.0,128.0,62.5,9.0,21.1,30.1,10.8,30.3,5.4,2.3,20.3,44.7,0.591,-0.436
2010,upei,Wins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,upei,Losses,19.0,295.0,1039.0,28.4,53.0,213.0,24.9,164.0,258.0,63.6,8.8,19.1,27.9,8.7,27.4,6.5,2.6,17.8,42.5,0.58,-0.486
2010,upei,November,6.0,92.0,332.0,27.7,14.0,70.0,20.0,60.0,103.0,58.3,7.8,20.0,27.8,8.5,31.8,7.0,2.3,22.5,43.0,0.542,-0.624
2010,upei,January,7.0,112.0,380.0,29.5,24.0,78.0,30.8,49.0,74.0,66.2,9.1,20.0,29.1,9.3,24.9,6.3,2.3,14.1,42.4,0.606,-0.406
2010,upei,February,6.0,91.0,327.0,27.8,15.0,65.0,23.1,55.0,81.0,67.9,9.5,17.2,26.7,8.2,26.0,6.2,3.2,17.5,42.0,0.592,-0.43
2010,bishops,Total,16.0,352.0,966.0,36.4,91.0,320.0,28.4,167.0,246.0,67.9,12.2,22.6,34.8,11.5,19.6,10.4,1.7,17.6,60.1,0.887,-0.053
2010,bishops,Exhibition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,bishops,Home,8.0,176.0,444.0,39.6,44.0,144.0,30.6,90.0,139.0,64.7,11.8,21.3,33.0,13.1,17.9,10.5,1.4,16.6,60.8,0.986,-0.002
2010,bishops,Away,8.0,176.0,522.0,33.7,47.0,176.0,26.7,77.0,107.0,72.0,12.6,23.9,36.5,9.9,21.3,10.4,2.0,18.6,59.5,0.805,-0.091
2010,bishops,Wins,6.0,141.0,351.0,40.2,41.0,119.0,34.5,68.0,91.0,74.7,10.8,22.5,33.3,12.7,17.5,9.2,2.3,16.7,65.2,1.0,0.174
2010,bishops,Losses,10.0,211.0,615.0,34.3,50.0,201.0,24.9,99.0,155.0,63.9,13.0,22.6,35.6,10.8,20.8,11.2,1.3,18.2,57.1,0.824,-0.185
2010,bishops,November,5.0,106.0,288.0,36.8,34.0,99.0,34.3,66.0,91.0,72.5,10.2,21.2,31.4,10.0,19.8,11.2,1.4,20.4,62.4,0.929,-0.002
2010,bishops,January,5.0,111.0,301.0,36.9,31.0,109.0,28.4,37.0,54.0,68.5,9.8,24.4,34.2,11.8,18.2,8.2,2.2,16.4,58.0,0.845,-0.103
2010,bishops,February,6.0,135.0,377.0,35.8,26.0,112.0,23.2,64.0,101.0,63.4,15.8,22.2,38.0,12.5,20.5,11.7,1.5,16.3,60.0,0.889,-0.055
2010,concordia,Total,16.0,365.0,996.0,36.6,40.0,212.0,18.9,304.0,440.0,69.1,12.8,21.9,34.6,8.9,17.7,8.4,1.0,14.4,67.1,0.999,0.026
2010,concordia,Exhibition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,concordia,Home,8.0,187.0,505.0,37.0,17.0,106.0,16.0,121.0,182.0,66.5,12.8,21.3,34.0,9.3,16.0,8.9,0.9,14.6,64.0,0.964,-0.005
2010,concordia,Away,8.0,178.0,491.0,36.3,23.0,106.0,21.7,183.0,258.0,70.9,12.8,22.5,35.3,8.5,19.4,8.0,1.1,14.1,70.3,1.033,0.057
2010,concordia,Wins,6.0,145.0,374.0,38.8,19.0,92.0,20.7,105.0,159.0,66.0,13.5,22.3,35.8,8.8,14.5,7.8,0.8,14.7,69.0,1.089,0.182
2010,concordia,Losses,10.0,220.0,622.0,35.4,21.0,120.0,17.5,199.0,281.0,70.8,12.3,21.6,33.9,8.9,19.6,8.8,1.1,14.2,66.0,0.95,-0.06
2010,concordia,November,5.0,99.0,308.0,32.1,9.0,69.0,13.0,106.0,145.0,73.1,11.8,21.2,33.0,6.2,16.4,7.0,1.2,14.6,62.6,0.946,-0.108
2010,concordia,December,1.0,14.0,46.0,30.4,3.0,11.0,27.3,32.0,44.0,72.7,12.0,26.0,38.0,11.0,28.0,12.0,3.0,15.0,63.0,1.016,0.119
2010,concordia,January,5.0,133.0,325.0,40.9,14.0,74.0,18.9,88.0,136.0,64.7,13.8,22.0,35.8,9.8,18.6,8.2,0.8,15.4,73.6,1.054,0.103
2010,concordia,February,5.0,119.0,317.0,37.5,14.0,58.0,24.1,78.0,115.0,67.8,12.8,21.6,34.4,10.2,16.0,9.4,0.6,13.0,66.0,0.991,0.049
2010,laval,Total,16.0,390.0,955.0,40.8,92.0,275.0,33.5,215.0,275.0,78.2,12.1,29.7,41.8,12.1,22.4,7.9,5.2,15.6,67.9,0.971,0.092
2010,laval,Exhibition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,laval,Home,8.0,195.0,493.0,39.6,43.0,129.0,33.3,108.0,143.0,75.5,14.3,29.9,44.1,11.9,21.9,9.3,6.6,14.9,67.6,0.977,0.114
2010,laval,Away,8.0,195.0,462.0,42.2,49.0,146.0,33.6,107.0,132.0,81.1,10.0,29.5,39.5,12.3,23.0,6.5,3.8,16.3,68.3,0.965,0.07
2010,laval,Wins,13.0,333.0,795.0,41.9,82.0,223.0,36.8,166.0,212.0,78.3,12.7,30.2,42.9,12.4,22.7,8.4,4.9,15.6,70.3,0.988,0.132
2010,laval,Losses,3.0,57.0,160.0,35.6,10.0,52.0,19.2,49.0,63.0,77.8,9.7,27.3,37.0,10.7,21.3,5.7,6.3,15.3,57.7,0.887,-0.093
2010,laval,November,4.0,104.0,238.0,43.7,26.0,62.0,41.9,59.0,75.0,78.7,8.0,29.5,37.5,10.3,20.5,10.0,4.3,16.0,73.3,1.017,0.167
2010,laval,January,6.0,142.0,376.0,37.8,30.0,104.0,28.8,81.0,106.0,76.4,14.5,33.3,47.8,11.7,23.7,8.2,6.3,14.5,65.8,0.916,0.135
2010,laval,February,6.0,144.0,341.0,42.2,36.0,109.0,33.0,75.0,94.0,79.8,12.5,26.2,38.7,13.7,22.5,6.2,4.7,16.3,66.5,0.995,-0.018
2010,mcgill,Total,16.0,328.0,928.0,35.3,105.0,344.0,30.5,198.0,269.0,73.6,10.5,22.1,32.6,9.4,15.8,8.9,1.4,16.8,59.9,0.948,-0.007
2010,mcgill,Exhibition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,mcgill,Home,8.0,161.0,479.0,33.6,58.0,180.0,32.2,93.0,129.0,72.1,8.9,22.6,31.5,9.3,17.0,9.8,2.0,19.4,59.1,0.869,-0.046
2010,mcgill,Away,8.0,167.0,449.0,37.2,47.0,164.0,28.7,105.0,140.0,75.0,12.1,21.5,33.6,9.6,14.5,8.1,0.9,14.3,60.8,1.038,0.041
2010,mcgill,Wins,7.0,161.0,421.0,38.2,56.0,165.0,33.9,89.0,124.0,71.8,11.6,23.0,34.6,12.0,16.4,8.0,1.7,15.4,66.7,1.026,0.157
2010,mcgill,Losses,9.0,167.0,507.0,32.9,49.0,179.0,27.4,109.0,145.0,75.2,9.7,21.3,31.0,7.4,15.2,9.7,1.2,17.9,54.7,0.883,-0.137
2010,mcgill,November,5.0,90.0,257.0,35.0,31.0,96.0,32.3,75.0,97.0,77.3,8.4,22.4,30.8,8.0,15.0,8.0,2.6,18.8,57.2,0.986,-0.014
2010,mcgill,January,6.0,120.0,363.0,33.1,42.0,132.0,31.8,58.0,83.0,69.9,9.8,23.3,33.2,9.5,17.5,9.3,1.3,18.0,56.7,0.831,-0.058
2010,mcgill,February,5.0,118.0,308.0,38.3,32.0,116.0,27.6,65.0,89.0,73.0,13.4,20.2,33.6,10.8,14.4,9.4,0.4,13.4,66.6,1.064,0.076
2010,uqam,Total,16.0,406.0,1024.0,39.6,73.0,225.0,32.4,198.0,268.0,73.9,11.6,22.8,34.4,11.7,18.1,9.1,1.5,19.4,67.7,0.961,-0.062
2010,uqam,Exhibition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,uqam,Home,8.0,223.0,532.0,41.9,43.0,125.0,34.4,97.0,124.0,78.2,11.9,22.3,34.1,14.6,19.0,9.9,2.3,21.1,73.3,0.995,-0.018
2010,uqam,Away,8.0,183.0,492.0,37.2,30.0,100.0,30.0,101.0,144.0,70.1,11.4,23.3,34.6,8.8,17.1,8.4,0.8,17.6,62.1,0.924,-0.108
2010,uqam,Wins,8.0,221.0,500.0,44.2,44.0,112.0,39.3,108.0,140.0,77.1,9.8,25.5,35.3,13.0,18.6,9.9,2.0,20.4,74.3,1.04,0.065
2010,uqam,Losses,8.0,185.0,524.0,35.3,29.0,113.0,25.7,90.0,128.0,70.3,13.5,20.0,33.5,10.4,17.5,8.4,1.0,18.4,61.1,0.879,-0.19
2010,uqam,November,3.0,81.0,179.0,45.3,15.0,45.0,33.3,34.0,42.0,81.0,8.3,24.7,33.0,11.7,20.0,7.7,1.7,18.0,70.3,0.986,-0.046
2010,uqam,December,1.0,27.0,74.0,36.5,7.0,15.0,46.7,9.0,13.0,69.2,15.0,21.0,36.0,12.0,19.0,16.0,3.0,29.0,70.0,0.897,-0.119
2010,uqam,January,6.0,142.0,389.0,36.5,24.0,80.0,30.0,74.0,110.0,67.3,14.0,20.3,34.3,10.3,17.0,9.7,1.0,18.0,63.7,0.939,-0.091
2010,uqam,February,6.0,156.0,382.0,40.8,27.0,85.0,31.8,81.0,103.0,78.6,10.3,24.5,34.8,13.0,18.0,8.2,1.7,19.8,70.0,0.981,-0.031
2010,brock,Total,22.0,552.0,1517.0,36.4,161.0,455.0,35.4,268.0,395.0,67.8,13.3,21.1,34.4,16.0,16.3,15.5,1.9,19.0,69.7,0.861,0.093
2010,brock,Exhibition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,brock,Home,12.0,302.0,802.0,37.7,79.0,233.0,33.9,146.0,210.0,69.5,12.2,22.5,34.7,16.8,17.4,16.1,1.8,18.6,69.1,0.855,0.101
2010,brock,Away,10.0,250.0,715.0,35.0,82.0,222.0,36.9,122.0,185.0,65.9,14.6,19.5,34.1,15.1,15.0,14.9,1.9,19.5,70.4,0.868,0.081
2010,brock,Wins,13.0,358.0,914.0,39.2,111.0,283.0,39.2,171.0,238.0,71.8,13.3,22.2,35.5,17.8,14.9,16.8,2.0,19.1,76.8,0.947,0.268
2010,brock,Losses,9.0,194.0,603.0,32.2,50.0,172.0,29.1,97.0,157.0,61.8,13.2,19.6,32.8,13.3,18.3,13.8,1.7,18.9,59.4,0.735,-0.159
2010,brock,November,8.0,207.0,560.0,37.0,54.0,149.0,36.2,107.0,151.0,70.9,13.8,19.0,32.8,17.0,14.9,17.6,1.5,20.3,71.9,0.892,0.124
2010,brock,January,8.0,211.0,577.0,36.6,65.0,185.0,35.1,85.0,125.0,68.0,14.1,21.8,35.9,15.0,18.0,17.1,2.4,19.6,71.5,0.853,0.115
2010,brock,February,6.0,134.0,380.0,35.3,42.0,121.0,34.7,76.0,119.0,63.9,11.5,23.2,34.7,16.0,16.0,10.7,1.7,16.5,64.3,0.827,0.015
2010,carleton,Total,22.0,540.0,1436.0,37.6,159.0,477.0,33.3,234.0,347.0,67.4,14.9,25.1,40.0,12.2,15.8,8.3,2.2,18.9,67.0,0.903,0.207
2010,carleton,Exhibition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,carleton,Home,11.0,280.0,737.0,38.0,77.0,234.0,32.9,114.0,156.0,73.1,14.9,23.5,38.4,11.6,15.5,8.2,1.8,18.5,68.3,0.915,0.215
2010,carleton,Away,11.0,260.0,699.0,37.2,82.0,243.0,33.7,120.0,191.0,62.8,14.8,26.7,41.5,12.7,16.2,8.5,2.5,19.3,65.6,0.892,0.199
2010,carleton,Wins,18.0,464.0,1199.0,38.7,137.0,401.0,34.2,194.0,280.0,69.3,15.1,25.2,40.3,13.1,14.9,8.9,2.3,18.6,69.9,0.943,0.276
2010,carleton,Losses,4.0,76.0,237.0,32.1,22.0,76.0,28.9,40.0,67.0,59.7,13.8,24.8,38.5,8.0,20.0,5.8,1.8,20.3,53.5,0.724,-0.1
2010,carleton,November,9.0,220.0,572.0,38.5,60.0,175.0,34.3,98.0,151.0,64.9,15.1,24.6,39.7,11.7,19.2,8.8,1.6,20.0,66.4,0.874,0.148
2010,carleton,January,9.0,218.0,593.0,36.8,68.0,205.0,33.2,102.0,145.0,70.3,15.0,25.4,40.4,12.9,14.1,7.8,2.3,17.7,67.3,0.922,0.217
2010,carleton,February,4.0,102.0,271.0,37.6,31.0,97.0,32.0,34.0,51.0,66.7,14.0,25.5,39.5,11.8,12.0,8.5,3.3,19.0,67.3,0.932,0.329
2010,guelph,Total,22.0,389.0,1233.0,31.5,59.0,291.0,20.3,268.0,430.0,62.3,11.8,23.6,35.4,8.5,21.5,6.2,3.0,15.2,50.2,0.665,-0.221
2010,guelph,Exhibition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,guelph,Home,10.0,163.0,542.0,30.1,26.0,133.0,19.5,132.0,209.0,63.2,12.0,23.6,35.6,9.2,22.4,5.6,4.1,15.1,48.4,0.645,-0.24
2010,guelph,Away,12.0,226.0,691.0,32.7,33.0,158.0,20.9,136.0,221.0,61.5,11.6,23.6,35.2,7.8,20.7,6.8,2.2,15.3,51.8,0.682,-0.204
2010,guelph,Wins,2.0,46.0,124.0,37.1,8.0,37.0,21.6,27.0,39.0,69.2,12.0,26.0,38.0,7.5,9.0,4.5,0.0,16.0,63.5,0.924,0.125
2010,guelph,Losses,20.0,343.0,1109.0,30.9,51.0,254.0,20.1,241.0,391.0,61.6,11.8,23.4,35.1,8.6,22.7,6.4,3.4,15.1,48.9,0.642,-0.252
2010,guelph,November,8.0,152.0,454.0,33.5,24.0,95.0,25.3,96.0,157.0,61.1,13.5,23.6,37.1,8.5,19.3,6.8,3.8,15.8,53.0,0.733,-0.169
2010,guelph,January,8.0,149.0,462.0,32.3,19.0,107.0,17.8,92.0,152.0,60.5,11.5,23.4,34.9,9.5,21.4,6.0,2.6,15.8,51.1,0.663,-0.15
